LineId,Time,Level,Content,EventId,EventTemplate,Content_clean,EventTemplate_clean,Level_encoded
1,2005-12-04 04:47:44,notice,workerEnv.init() ok /etc/httpd/conf/workers2.properties,E2,workerEnv.init() ok <*>,workerenvinit ok etchttpdconfworkersnumproperties,workerenvinit ok,1
2,2005-12-04 04:47:44,error,mod_jk child workerEnv in error state 6,E3,mod_jk child workerEnv in error state <*>,mod_jk child workerenv in error state num,mod_jk child workerenv in error state,0
3,2005-12-04 04:51:08,notice,jk2_init() Found child 6725 in scoreboard slot 10,E1,jk2_init() Found child <*> in scoreboard slot <*>,jknum_init found child num in scoreboard slot num,jknum_init found child in scoreboard slot,1
4,2005-12-04 04:51:09,notice,jk2_init() Found child 6726 in scoreboard slot 8,E1,jk2_init() Found child <*> in scoreboard slot <*>,jknum_init found child num in scoreboard slot num,jknum_init found child in scoreboard slot,1
5,2005-12-04 04:51:09,notice,jk2_init() Found child 6728 in scoreboard slot 6,E1,jk2_init() Found child <*> in scoreboard slot <*>,jknum_init found child num in scoreboard slot num,jknum_init found child in scoreboard slot,1
6,2005-12-04 04:51:14,notice,workerEnv.init() ok /etc/httpd/conf/workers2.properties,E2,workerEnv.init() ok <*>,workerenvinit ok etchttpdconfworkersnumproperties,workerenvinit ok,1
7,2005-12-04 04:51:14,notice,workerEnv.init() ok /etc/httpd/conf/workers2.properties,E2,workerEnv.init() ok <*>,workerenvinit ok etchttpdconfworkersnumproperties,workerenvinit ok,1
8,2005-12-04 04:51:14,notice,workerEnv.init() ok /etc/httpd/conf/workers2.properties,E2,workerEnv.init() ok <*>,workerenvinit ok etchttpdconfworkersnumproperties,workerenvinit ok,1
9,2005-12-04 04:51:18,error,mod_jk child workerEnv in error state 6,E3,mod_jk child workerEnv in error state <*>,mod_jk child workerenv in error state num,mod_jk child workerenv in error state,0
10,2005-12-04 04:51:18,error,mod_jk child workerEnv in error state 6,E3,mod_jk child workerEnv in error state <*>,mod_jk child workerenv in error state num,mod_jk child workerenv in error state,0
11,2005-12-04 04:51:18,error,mod_jk child workerEnv in error state 6,E3,mod_jk child workerEnv in error state <*>,mod_jk child workerenv in error state num,mod_jk child workerenv in error state,0
12,2005-12-04 04:51:37,notice,jk2_init() Found child 6736 in scoreboard slot 10,E1,jk2_init() Found child <*> in scoreboard slot <*>,jknum_init found child num in scoreboard slot num,jknum_init found child in scoreboard slot,1
13,2005-12-04 04:51:38,notice,jk2_init() Found child 6733 in scoreboard slot 7,E1,jk2_init() Found child <*> in scoreboard slot <*>,jknum_init found child num in scoreboard slot num,jknum_init found child in scoreboard slot,1
14,2005-12-04 04:51:38,notice,jk2_init() Found child 6734 in scoreboard slot 9,E1,jk2_init() Found child <*> in scoreboard slot <*>,jknum_init found child num in scoreboard slot num,jknum_init found child in scoreboard slot,1
15,2005-12-04 04:51:52,notice,workerEnv.init() ok /etc/httpd/conf/workers2.properties,E2,workerEnv.init() ok <*>,workerenvinit ok etchttpdconfworkersnumproperties,workerenvinit ok,1
16,2005-12-04 04:51:52,notice,workerEnv.init() ok /etc/httpd/conf/workers2.properties,E2,workerEnv.init() ok <*>,workerenvinit ok etchttpdconfworkersnumproperties,workerenvinit ok,1
17,2005-12-04 04:51:55,error,mod_jk child workerEnv in error state 6,E3,mod_jk child workerEnv in error state <*>,mod_jk child workerenv in error state num,mod_jk child workerenv in error state,0
18,2005-12-04 04:52:04,notice,jk2_init() Found child 6738 in scoreboard slot 6,E1,jk2_init() Found child <*> in scoreboard slot <*>,jknum_init found child num in scoreboard slot num,jknum_init found child in scoreboard slot,1
19,2005-12-04 04:52:04,notice,jk2_init() Found child 6741 in scoreboard slot 9,E1,jk2_init() Found child <*> in scoreboard slot <*>,jknum_init found child num in scoreboard slot num,jknum_init found child in scoreboard slot,1
20,2005-12-04 04:52:05,notice,jk2_init() Found child 6740 in scoreboard slot 7,E1,jk2_init() Found child <*> in scoreboard slot <*>,jknum_init found child num in scoreboard slot num,jknum_init found child in scoreboard slot,1
21,2005-12-04 04:52:05,notice,jk2_init() Found child 6737 in scoreboard slot 8,E1,jk2_init() Found child <*> in scoreboard slot <*>,jknum_init found child num in scoreboard slot num,jknum_init found child in scoreboard slot,1
