step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,isFraud
1,TRANSFER,181.0,C1305486145,181.0,0.0,C553264065,0.0,0.0,1
1,CASH_OUT,181.0,C840083671,181.0,0.0,C38997010,21182.0,0.0,1
1,TRANSFER,2806.0,C1420196421,2806.0,0.0,C972765878,0.0,0.0,1
1,TRANSFER,1277212.77,C1334405552,1277212.77,0.0,C431687661,0.0,0.0,1
1,CASH_OUT,416001.33,C749981943,0.0,0.0,C667346055,102.0,9291619.62,1
1,CASH_OUT,2806.0,C2101527076,2806.0,0.0,C1007251739,26202.0,0.0,1
1,CASH_OUT,20128.0,C1118430673,20128.0,0.0,C339924917,6268.0,12145.85,1
1,TRANSFER,20128.0,C137533655,20128.0,0.0,C1848415041,0.0,0.0,1
1,CASH_OUT,1277212.77,C467632528,1277212.77,0.0,C716083600,0.0,2444985.19,1
1,PAYMENT,1527.08,C1124317168,710262.99,708735.91,M1970612644,0.0,0.0,0
1,PAYMENT,3896.42,C751608431,11558.39,7661.97,M1723290893,0.0,0.0,0
1,CASH_IN,227335.16,C1621254922,6073129.01,6300464.17,C564160838,1817946.5,1254956.07,0
1,PAYMENT,4591.98,C1677984391,52018.0,47426.02,M285754614,0.0,0.0,0
1,PAYMENT,32635.14,C407997647,0.0,0.0,M428996455,0.0,0.0,0
1,PAYMENT,1639.33,C600017090,5912.0,4272.67,M1215029765,0.0,0.0,0
1,PAYMENT,1157.05,C1360541835,52867.0,51709.95,M363397863,0.0,0.0,0
1,CASH_OUT,69490.69,C1312843412,9326.0,0.0,C1529115495,20093.0,67268.02,0
1,PAYMENT,3620.25,C2094115865,22956.58,19336.33,M49547843,0.0,0.0,0
1,CASH_IN,135327.21,C392289808,6661123.62,6796450.83,C1100767002,368697.57,233370.36,0
1,PAYMENT,8525.08,C2029645118,0.0,0.0,M274298188,0.0,0.0,0
1,TRANSFER,235238.66,C1872047468,235238.66,0.0,C116289363,0.0,0.0,1
1,CASH_OUT,235238.66,C1499825229,235238.66,0.0,C2100440237,0.0,235238.66,1
1,CASH_OUT,25071.46,C1275464847,25071.46,0.0,C1364913072,9083.76,34155.22,1
1,CASH_OUT,132842.64,C13692003,4499.08,0.0,C297927961,0.0,132842.64,1
1,CASH_OUT,35063.63,C1635772897,35063.63,0.0,C1983025922,31140.0,7550.03,1
1,TRANSFER,25071.46,C669700766,25071.46,0.0,C1384210339,0.0,0.0,1
1,TRANSFER,35063.63,C1364127192,35063.63,0.0,C1136419747,0.0,0.0,1
1,PAYMENT,2399.75,C877804870,19907.0,17507.25,M2095970915,0.0,0.0,0
1,CASH_IN,270.78,C619985571,4184966.65,4185237.43,C875917495,3019.0,0.0,0
1,DEBIT,3837.3,C1403649277,25591.0,21753.7,C1941598182,50670.0,47923.33,0
1,CASH_OUT,57643.24,C1373861264,0.0,0.0,C1096283470,66948.88,0.0,0
1,TRANSFER,637758.38,C684407333,0.0,0.0,C564160838,1181971.26,1070702.75,0
2,PAYMENT,157.91,C1484397819,172.0,14.09,M1213367860,0.0,0.0,0
2,TRANSFER,243853.63,C623330465,0.0,0.0,C2083562754,1807948.63,2051802.27,0
2,TRANSFER,1096187.24,C1093223281,1096187.24,0.0,C2063275841,0.0,0.0,1
2,CASH_OUT,18627.02,C175961135,18627.02,0.0,C1711105800,147251.58,165878.6,1
2,PAYMENT,1413.15,C246168102,0.0,0.0,M280078161,0.0,0.0,0
2,PAYMENT,1216.72,C1907758892,11256.0,10039.28,M1487540468,0.0,0.0,0
2,CASH_OUT,214983.83,C967343730,0.0,0.0,C1122118227,10656658.73,11073556.18,0
2,PAYMENT,6574.63,C1181889508,91019.0,84444.37,M1115296438,0.0,0.0,0
2,PAYMENT,9213.89,C1952473604,11392.0,2178.11,M1802415698,0.0,0.0,0
2,PAYMENT,3719.89,C1322907569,31284.0,27564.11,M756126725,0.0,0.0,0
2,TRANSFER,963532.14,C1440057381,963532.14,0.0,C268086000,0.0,0.0,1
2,CASH_OUT,14949.84,C395257482,14949.84,0.0,C1032986144,18161.79,33111.63,1
2,TRANSFER,18627.02,C1375503918,18627.02,0.0,C234430897,0.0,0.0,1
2,CASH_OUT,963532.14,C430329518,963532.14,0.0,C991505714,132382.57,1095914.71,1
2,TRANSFER,14949.84,C140702728,14949.84,0.0,C634210724,0.0,0.0,1
2,CASH_OUT,1096187.24,C77163673,1096187.24,0.0,C644345897,0.0,1096187.24,1
2,TRANSFER,60949.25,C773535564,0.0,0.0,C481402298,632824.07,617488.4,0
3,PAYMENT,21595.02,C1797763792,466.0,0.0,M1337347604,0.0,0.0,0
3,TRANSFER,22877.0,C1247938090,22877.0,0.0,C1002031672,0.0,0.0,1
3,PAYMENT,14043.68,C1297189990,72818.0,58774.32,M1092591822,0.0,0.0,0
3,PAYMENT,2204.12,C353489239,0.0,0.0,M1099925775,0.0,0.0,0
3,CASH_OUT,22877.0,C2126545173,22877.0,0.0,C573200870,0.0,22877.0,1
3,TRANSFER,10539.37,C1134864869,10539.37,0.0,C118648358,0.0,0.0,1
3,CASH_OUT,10539.37,C1984954272,10539.37,0.0,C124540047,0.0,10539.37,1
4,TRANSFER,10000000.0,C7162498,12930418.44,2930418.44,C945327594,0.0,0.0,1
4,TRANSFER,13707.11,C17222024,13707.11,0.0,C410033330,0.0,0.0,1
4,CASH_OUT,10000000.0,C351297720,10000000.0,0.0,C766681183,0.0,9941904.21,1
4,TRANSFER,2930418.44,C2047521920,2930418.44,0.0,C449261773,0.0,0.0,1
4,CASH_OUT,169941.73,C2026325575,169941.73,0.0,C1394526584,0.0,169941.73,1
4,CASH_OUT,13707.11,C556223230,13707.11,0.0,C2094777811,0.0,13707.11,1
4,TRANSFER,169941.73,C540962910,169941.73,0.0,C2127862399,0.0,0.0,1
4,CASH_OUT,2930418.44,C2044690596,2930418.44,0.0,C932583850,3616012.1,6963508.84,1
4,PAYMENT,13788.58,C1739940094,0.0,0.0,M1172170412,0.0,0.0,0
4,CASH_OUT,86070.17,C1699873763,86070.17,0.0,C560041895,0.0,86070.17,1
4,TRANSFER,86070.17,C1844941220,86070.17,0.0,C1191544932,0.0,0.0,1
4,PAYMENT,336.88,C321795476,21430.0,21093.12,M1327714567,0.0,0.0,0
4,CASH_OUT,104334.87,C1549439412,0.0,0.0,C1750905143,193663.49,297998.36,0
4,CASH_OUT,104234.05,C1415104286,58096.76,0.0,C1926673338,167476.47,204653.87,0
5,CASH_IN,281593.55,C1253466407,2085292.46,2366886.01,C1789550256,2772312.14,2490718.59,0
5,DEBIT,2357.56,C976935143,1074.0,0.0,C444920847,41351.37,43708.94,0
5,CASH_OUT,105095.1,C1833239242,0.0,0.0,C1394526584,169941.73,618730.52,0
5,CASH_IN,258127.75,C347691330,6193725.92,6451853.66,C1303868418,5515949.57,4313939.72,0
5,TRANSFER,120074.73,C1409933277,120074.73,0.0,C162114152,0.0,0.0,1
5,TRANSFER,10119.47,C1775746074,10119.47,0.0,C746009679,0.0,0.0,1
5,CASH_OUT,10119.47,C213063852,10119.47,0.0,C922511709,0.0,10119.47,1
5,CASH_OUT,120074.73,C1174000532,120074.73,0.0,C410033330,0.0,120074.73,1
5,CASH_OUT,60726.57,C840095827,60726.57,0.0,C803116137,13010502.78,13071229.35,1
5,TRANSFER,60726.57,C383882703,60726.57,0.0,C1807010830,0.0,0.0,1
5,PAYMENT,3864.48,C1413886848,21574.0,17709.52,M135920409,0.0,0.0,0
6,CASH_IN,151301.14,C1969754956,8703848.37,8855149.51,C1360767589,5188539.32,6712636.97,0
6,PAYMENT,7515.48,C899111685,73252.0,65736.52,M1196288844,0.0,0.0,0
6,CASH_OUT,30521.02,C1813769162,30521.02,0.0,C1249547869,0.0,30521.02,1
6,TRANSFER,30521.02,C903383636,30521.02,0.0,C904300960,0.0,0.0,1
6,PAYMENT,13597.47,C1015539793,0.0,0.0,M1414883107,0.0,0.0,0
6,CASH_OUT,85074.07,C1909002529,0.0,0.0,C542766981,124897.0,43655.86,0
6,CASH_OUT,13704.0,C1421965867,13704.0,0.0,C1438594533,3382.84,143675.35,1
6,CASH_OUT,17320.91,C436661284,17320.91,0.0,C522173599,6244.44,0.0,1
6,TRANSFER,17320.91,C788790720,17320.91,0.0,C1589547066,0.0,0.0,1
6,CASH_OUT,10224.0,C1284098442,10224.0,0.0,C801412408,0.0,10224.0,1
6,TRANSFER,10565.0,C777407608,10565.0,0.0,C1790657739,0.0,0.0,1
6,TRANSFER,17246.0,C1034673425,17246.0,0.0,C1379589736,0.0,101717.84,1
6,TRANSFER,10224.0,C365589282,10224.0,0.0,C908043384,0.0,0.0,1
6,CASH_OUT,10565.0,C1191732945,10565.0,0.0,C418964192,36275.0,24380.72,1
6,TRANSFER,216422.0,C666642000,216422.0,0.0,C1315078366,0.0,0.0,1
6,CASH_OUT,216422.0,C1547714604,216422.0,0.0,C7881234,10097.0,48630.5,1
6,TRANSFER,85354.69,C558400671,85354.69,0.0,C527482085,0.0,0.0,1
6,PAYMENT,1916.28,C799306600,33036.0,31119.72,M56115670,0.0,0.0,0
6,CASH_IN,145697.63,C783488821,6314994.42,6460692.05,C11003494,11919932.15,15026180.08,0
6,PAYMENT,2945.31,C371694173,20275.0,17329.69,M528042460,0.0,0.0,0
6,CASH_OUT,26768.5,C682812632,26768.5,0.0,C256417920,101976.0,128744.5,1
6,TRANSFER,26768.5,C457596841,26768.5,0.0,C1956477953,0.0,0.0,1
6,CASH_OUT,25975.86,C1004271827,25975.86,0.0,C451934410,98152.0,28041.27,1
6,CASH_IN,143165.59,C1563833544,39955.5,183121.09,C1721246982,1010657.61,1515372.59,0
